grid_id,institute,city,state,country,requires_manual_review,alt_grid_id,alt_institute,input_name,input_city,input_state,input_country,wos_institute_name
grid.7849.2,Claude Bernard University Lyon 1,Villeurbanne,NA,France,FALSE,NA,NA,UNIVERSITY LYON I CLAUDE BERNARD,LYON,nan,France,UNIV LYON I CLAUDE BERNARD
NA,NA,NA,NA,NA,NA,NA,NA,FOOTHILLS MEDICINE CENTER,CALGARY,nan,Canada,FOOTHILLS MED CTR
grid.22072.35,University of Calgary,Calgary,Alberta,Canada,FALSE,NA,NA,UNIVERSITY CALGARY,CALGARY,nan,Canada,UNIV CALGARY
grid.25073.33,McMaster University,Hamilton,Ontario,Canada,FALSE,NA,NA,MCMASTER UNIVERSITY,HAMILTON,nan,Canada,MCMASTER UNIV
grid.1008.9,University of Melbourne,Melbourne,Victoria,Australia,FALSE,NA,NA,UNIVERSITY MELBOURNE,MELBOURNE,nan,Australia,UNIV MELBOURNE
grid.7841.a,Sapienza University of Rome,Rome,Lazio,Italy,FALSE,NA,NA,UNIVERSITY ROMA SAPIENZA,ROME,nan,Italy,UNIV ROMA SAPIENZA
grid.62560.37,Brigham and Women's Hospital,Boston,Massachusetts,United States,FALSE,NA,NA,BRIGHAM & WOMENS HOSPITAL,BOSTON,nan,United States,BRIGHAM & WOMENS HOSP
grid.10939.32,University of Tartu,Tartu,NA,Estonia,FALSE,NA,NA,UNIVERSITY TARTU,TARTU,nan,Estonia,UNIV TARTU
grid.26790.3a,University of Miami,Coral Gables,Florida,United States,FALSE,NA,NA,UNIVERSITY MIAMI - MIAMI,MIAMI,nan,United States,UNIV MIAMI - MIAMI
grid.42505.36,University of Southern California,Los Angeles,California,United States,FALSE,NA,NA,UNIVERSITY  SOUTHERN CALIFORNIA,LOS ANGELES,nan,United States,UNIV SO CALIF
grid.266900.b,University of Oklahoma,Norman,Oklahoma,United States,FALSE,NA,NA,UNIVERSITY OKLAHOMA,NORMAN,nan,United States,UNIV OKLAHOMA
grid.223827.e,University of Utah,Salt Lake City,Utah,United States,FALSE,NA,NA,UNIVERSITY UTAH,SALT LAKE CITY,nan,United States,UNIV UTAH
grid.34429.38,University of Guelph,Guelph,Ontario,Canada,FALSE,NA,NA,UNIVERSITY GUELPH,GUELPH,nan,Canada,UNIV GUELPH
grid.23856.3a,Université Laval,Québec,Quebec,Canada,FALSE,NA,NA,UNIVERSITY LAVAL,ST FOY,nan,Canada,UNIV LAVAL
grid.411798.2,General University Hospital in Prague,Prague,NA,Czechia,FALSE,NA,NA,GEN UNIVERSITY HOSPITAL PRAGUE,PRAGUE,nan,Czech Republic,GEN UNIV HOSP PRAGUE
grid.450268.d,Max Planck Institute for Meteorology,Hamburg,NA,Germany,FALSE,NA,NA,INTERNATIONAL MAX PLANCK RESEARCH SCHOOL EARTH SYSTEM MODELLING,HAMBURG,nan,Germany,INT MAX PLANCK RES SCH EARTH SYST MODELLING
grid.4372.2,Max Planck Society,Munich,NA,Germany,FALSE,NA,NA,MAX PLANCK SOCIETY,MUNICH,nan,Germany,MAX PLANCK SOCIETY
grid.9026.d,Universität Hamburg,Hamburg,NA,Germany,FALSE,NA,NA,UNIVERSITY HAMBURG,HAMBURG,nan,Germany,UNIV HAMBURG
grid.416075.1,Royal Adelaide Hospital,Adelaide,South Australia,Australia,FALSE,NA,NA,ROY ADELAIDE HOSPITAL,ADELAIDE,nan,Australia,ROY ADELAIDE HOSP
grid.1010.0,University of Adelaide,Adelaide,South Australia,Australia,FALSE,NA,NA,UNIVERSITY ADELAIDE,ADELAIDE,nan,Australia,UNIV ADELAIDE
NA,NA,NA,NA,NA,NA,NA,NA,LOTHIAN NHS TRUST,EDINBURGH,nan,United Kingdom,LOTHIAN NHST
grid.4305.2,University of Edinburgh,Edinburgh,NA,United Kingdom,FALSE,NA,NA,UNIVERSITY EDINBURGH,EDINBURGH,nan,United Kingdom,UNIV EDINBURGH
grid.417068.c,Western General Hospital,Edinburgh,Scotland,United Kingdom,FALSE,NA,NA,WESTERN GEN HOSPITAL ED,EDINBURGH,nan,United Kingdom,WESTERN GEN HOSP ED
NA,NA,NA,NA,NA,NA,NA,NA,ED ROY INFIRM,EDINBURGH,nan,United Kingdom,ED ROY INFIRM
grid.412475.1,Semnan University,Semnan,Semnān,Iran,FALSE,NA,NA,SEMNAN UNIVERSITY,SEMNAN,nan,Iran,SEMNAN UNIV
grid.6292.f,University of Bologna,Bologna,Emilia-Romagna,Italy,FALSE,NA,NA,UNIVERSITY BOLOGNA,BOLOGNA,nan,Italy,UNIV BOLOGNA
